"Date Printed: Tuesday, July 19, 2022 3:39:12 PM"
Title: Chlamydia | Early Non-Primary, Non-Secondary Syphilis | Gonorrhea | HIV prevalence | Primary and Secondary Syphilis | 2019 | Alabama | Alaska | Arizona | Arkansas | California | Colorado | Connecticut | Delaware | District of Columbia | Florida | Georgia | Hawaii | Idaho | Illinois | Indiana | Iowa | Kansas | Kentucky | Louisiana | Maine | Maryland | Massachusetts | Michigan | Minnesota | Mississippi | Missouri | Montana | Nebraska | Nevada | New Hampshire | New Jersey | New Mexico | New York | North Carolina | North Dakota | Ohio | Oklahoma | Oregon | Pennsylvania | Rhode Island | South Carolina | South Dakota | Tennessee | Texas | Utah | Vermont | Virginia | Washington | West Virginia | Wisconsin | Wyoming | All races/ethnicities | Both sexes | 13-24
Footnote(s): For all HIV surveillance data: Data for the years 2020 and 2021 should be interpreted with caution due to the impact of the COVID-19 pandemic on access to HIV testing, care-related services, and case surveillance activities in state/local jurisdictions. Data for the year 2021 are preliminary (subject to a 12-month reporting delay). Rates are not reported until 12-month reporting delay complete. Inclusion of 2020 and 2021 data in trend assessments is discouraged.
Prevalence: Prevalence data for the year 2020 are preliminary and based on death data received by CDC as of December 2021. Prevalence data prior to 2010 are based on residence at diagnosis; prevalence data from 2010 to present are based on most recent known address. See Technical Notes for more information on death reporting by jurisdiction.
Death: Death data for the year 2020 are preliminary and based on death data received by CDC as of December 2021. Death data based on residence at death.
^ Jurisdiction with incomplete reporting of deaths for most recent year; relevant for HIV deaths, HIV prevalence, AIDS deaths, AIDS prevalence, knowledge of status, estimated HIV incidence, estimated HIV prevalence, and receipt of HIV medical care, and viral suppression indicators.
PrEP coverage, reported as a percentage, is calculated as the number of persons aged ≥16 years classified as having been prescribed PrEP divided by the estimated number of persons aged ≥16 years who had indications for PrEP.   Number prescribed, or “cases”, is defined as the number of persons aged ≥16 years classified as having been prescribed PrEP during the specified year and includes all FDA-approved drugs for PrEP.  “Population” is the annual estimated number of persons with PrEP indications. Total includes people categorized by IQVIA as Black, White, Hispanic, or Other race. Number prescribed are reported through December 2021. Data for which values are unknown were not reported; therefore, values may not sum to column total.
NA - Not applicable


Indicator,Year,Geography,FIPS,Cases,Rate per 100000
"Chlamydia","2019","Alabama","01","21,778","2868.1"
"Early Non-Primary, Non-Secondary Syphilis","2019","Alabama","01","152","20.0"
"Gonorrhea","2019","Alabama","01","7,708","1015.1"
"Primary and Secondary Syphilis","2019","Alabama","01","185","24.4"
"HIV prevalence","2019","Alabama^","01","604","79.5"
"Chlamydia","2019","Alaska","02","3,341","2890.6"
"Early Non-Primary, Non-Secondary Syphilis","2019","Alaska","02","18","15.6"
"Gonorrhea","2019","Alaska","02","Data suppressed","Data suppressed"
"HIV prevalence","2019","Alaska","02","21","18.1"
"Primary and Secondary Syphilis","2019","Alaska","02","24","20.8"
"Chlamydia","2019","Arizona","04","25,543","2193.5"
"Early Non-Primary, Non-Secondary Syphilis","2019","Arizona","04","223","19.2"
"Gonorrhea","2019","Arizona","04","5,663","486.3"
"HIV prevalence","2019","Arizona","04","547","46.8"
"Primary and Secondary Syphilis","2019","Arizona","04","Data suppressed","Data suppressed"
"Chlamydia","2019","Arkansas","05","11,888","2488.9"
"Early Non-Primary, Non-Secondary Syphilis","2019","Arkansas","05","75","15.7"
"Gonorrhea","2019","Arkansas","05","3,579","749.3"
"HIV prevalence","2019","Arkansas","05","282","59.0"
"Primary and Secondary Syphilis","2019","Arkansas","05","Data suppressed","Data suppressed"
"Chlamydia","2019","California","06","122,103","1971.3"
"Early Non-Primary, Non-Secondary Syphilis","2019","California","06","1,047","16.9"
"Gonorrhea","2019","California","06","24,114","389.3"
"HIV prevalence","2019","California","06","3,034","49.1"
"Primary and Secondary Syphilis","2019","California","06","1,476","23.8"
"Chlamydia","2019","Colorado","08","17,856","2007.6"
"Early Non-Primary, Non-Secondary Syphilis","2019","Colorado","08","46","5.2"
"Gonorrhea","2019","Colorado","08","3,708","416.9"
"HIV prevalence","2019","Colorado","08","310","34.8"
"Primary and Secondary Syphilis","2019","Colorado","08","73","8.2"
"Chlamydia","2019","Connecticut","09","9,722","1714.3"
"Early Non-Primary, Non-Secondary Syphilis","2019","Connecticut","09","42","7.4"
"Gonorrhea","2019","Connecticut","09","1,775","313.0"
"HIV prevalence","2019","Connecticut","09","206","36.3"
"Primary and Secondary Syphilis","2019","Connecticut","09","56","9.9"
"Chlamydia","2019","Delaware","10","3,985","2835.3"
"Early Non-Primary, Non-Secondary Syphilis","2019","Delaware","10","17","12.1"
"Gonorrhea","2019","Delaware","10","676","481.0"
"HIV prevalence","2019","Delaware","10","84","59.5"
"Primary and Secondary Syphilis","2019","Delaware","10","25","17.8"
"Chlamydia","2019","District of Columbia","11","4,905","4965.3"
"Early Non-Primary, Non-Secondary Syphilis","2019","District of Columbia","11","56","56.7"
"Gonorrhea","2019","District of Columbia","11","1,532","1550.8"
"HIV prevalence","2019","District of Columbia","11","262","265.2"
"Primary and Secondary Syphilis","2019","District of Columbia","11","47","47.6"
"Chlamydia","2019","Florida","12","68,809","2335.4"
"Early Non-Primary, Non-Secondary Syphilis","2019","Florida","12","Data suppressed","Data suppressed"
"Gonorrhea","2019","Florida","12","15,430","523.7"
"HIV prevalence","2019","Florida","12","2,932","99.4"
"Primary and Secondary Syphilis","2019","Florida","12","Data suppressed","Data suppressed"
"Chlamydia","2019","Georgia","13","44,240","2539.4"
"Early Non-Primary, Non-Secondary Syphilis","2019","Georgia","13","253","14.5"
"Gonorrhea","2019","Georgia","13","9,550","548.2"
"HIV prevalence","2019","Georgia","13","2,296","131.5"
"Primary and Secondary Syphilis","2019","Georgia","13","380","21.8"
"Chlamydia","2019","Hawaii","15","4,748","2401.1"
"Early Non-Primary, Non-Secondary Syphilis","2019","Hawaii","15","22","11.1"
"Gonorrhea","2019","Hawaii","15","498","251.8"
"HIV prevalence","2019","Hawaii","15","40","20.4"
"Primary and Secondary Syphilis","2019","Hawaii","15","22","11.1"
"Chlamydia","2019","Idaho","16","4,622","1571.1"
"Early Non-Primary, Non-Secondary Syphilis","2019","Idaho","16","8","2.7"
"Gonorrhea","2019","Idaho","16","531","180.5"
"HIV prevalence","2019","Idaho","16","31","10.5"
"Primary and Secondary Syphilis","2019","Idaho","16","11","3.7"
"Chlamydia","2019","Illinois","17","50,616","2558.0"
"Early Non-Primary, Non-Secondary Syphilis","2019","Illinois","17","Data suppressed","Data suppressed"
"Gonorrhea","2019","Illinois","17","13,815","698.2"
"HIV prevalence","2019","Illinois","17","1,286","65.0"
"Primary and Secondary Syphilis","2019","Illinois","17","296","15.0"
"Chlamydia","2019","Indiana","18","23,704","2135.3"
"Early Non-Primary, Non-Secondary Syphilis","2019","Indiana","18","62","5.6"
"Gonorrhea","2019","Indiana","18","5,643","508.3"
"HIV prevalence","2019","Indiana","18","430","38.8"
"Primary and Secondary Syphilis","2019","Indiana","18","Data suppressed","Data suppressed"
"Chlamydia","2019","Iowa","19","10,672","2054.2"
"Early Non-Primary, Non-Secondary Syphilis","2019","Iowa","19","20","3.8"
"Gonorrhea","2019","Iowa","19","2,216","426.5"
"HIV prevalence","2019","Iowa","19","103","19.7"
"Primary and Secondary Syphilis","2019","Iowa","19","36","6.9"
"Chlamydia","2019","Kansas","20","10,473","2126.6"
"Early Non-Primary, Non-Secondary Syphilis","2019","Kansas","20","49","9.9"
"Gonorrhea","2019","Kansas","20","2,421","491.6"
"HIV prevalence","2019","Kansas","20","139","28.3"
"Primary and Secondary Syphilis","2019","Kansas","20","46","9.3"
"Chlamydia","2019","Kentucky","21","13,758","1972.1"
"Early Non-Primary, Non-Secondary Syphilis","2019","Kentucky","21","Data suppressed","Data suppressed"
"Gonorrhea","2019","Kentucky","21","3,116","446.7"
"HIV prevalence","2019","Kentucky","21","265","37.9"
"Primary and Secondary Syphilis","2019","Kentucky","21","72","10.3"
